time,q1_l,q1_r,q2_l,q2_r
0.1,-0.0058606046464791525,0.02192644795939383,0.05194075772913145,0.0
0.2,0.0038178302585674855,0.03967588064620105,0.05763983353072366,0.0
0.30000000000000004,-0.04037823335060942,0.030020652466909374,0.12794593917094368,0.0
0.4,-0.09099716963799774,0.04456756692915264,0.17941716510318176,0.0
0.5,-0.1524888259584832,0.08578668164964222,0.21651277064367463,0.0
0.6000000000000001,-0.1754466635626005,0.13356579586696854,0.211721834026034,0.0
0.7000000000000001,-0.17132391855797952,0.13158067800485002,0.19782742710294302,0.0
0.8,-0.13962634015954636,0.10471975511965978,0.20943951023931956,0.05
0.9,-0.10471975511965978,0.10471975511965978,0.17453292519943295,0.1
1.0,-0.10471975511965978,0.06981317007977318,0.17453292519943295,0.2
1.1,-0.06981317007977318,0.06981317007977318,0.13962634015954636,0.2
1.2,-0.03490658503988659,0.06981317007977318,0.10471975511965978,0.1
1.3,-0.03490658503988659,0.06981317007977318,0.06981317007977318,0.05
1.4,-0.03490658503988659,0.03490658503988659,0.03490658503988659,0.0
1.5,0.0,0.03490658503988659,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0
