jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
91	921,000000E+0	1,254000E+3	0,000000E+0	0,000000E+0
92	919,000000E+0	1,257000E+3	0,000000E+0	0,000000E+0
93	918,000000E+0	1,259000E+3	0,000000E+0	0,000000E+0
94	917,000000E+0	1,261000E+3	0,000000E+0	0,000000E+0
95	916,000000E+0	1,264000E+3	0,000000E+0	0,000000E+0
96	915,000000E+0	1,266000E+3	0,000000E+0	0,000000E+0
97	914,000000E+0	1,268000E+3	0,000000E+0	0,000000E+0
98	913,000000E+0	1,270000E+3	0,000000E+0	0,000000E+0
99	912,000000E+0	1,273000E+3	0,000000E+0	0,000000E+0
100	911,000000E+0	1,275000E+3	0,000000E+0	0,000000E+0
101	910,000000E+0	1,277000E+3	0,000000E+0	0,000000E+0
102	908,000000E+0	1,279000E+3	0,000000E+0	0,000000E+0
103	908,000000E+0	1,281000E+3	0,000000E+0	0,000000E+0
104	907,000000E+0	1,283000E+3	0,000000E+0	0,000000E+0
105	906,000000E+0	1,285000E+3	0,000000E+0	0,000000E+0
106	905,000000E+0	1,288000E+3	0,000000E+0	0,000000E+0
107	904,000000E+0	1,290000E+3	0,000000E+0	0,000000E+0
108	903,000000E+0	1,292000E+3	0,000000E+0	0,000000E+0
109	903,000000E+0	1,294000E+3	0,000000E+0	0,000000E+0
110	902,000000E+0	1,296000E+3	0,000000E+0	0,000000E+0
111	901,000000E+0	1,298000E+3	0,000000E+0	0,000000E+0
112	900,000000E+0	1,300000E+3	0,000000E+0	0,000000E+0
113	899,000000E+0	1,302000E+3	0,000000E+0	0,000000E+0
114	898,000000E+0	1,304000E+3	0,000000E+0	0,000000E+0
115	897,000000E+0	1,306000E+3	0,000000E+0	0,000000E+0
116	896,000000E+0	1,308000E+3	0,000000E+0	0,000000E+0
117	895,000000E+0	1,310000E+3	0,000000E+0	0,000000E+0
118	894,000000E+0	1,312000E+3	0,000000E+0	0,000000E+0
119	893,000000E+0	1,313000E+3	0,000000E+0	0,000000E+0
120	892,000000E+0	1,315000E+3	0,000000E+0	0,000000E+0
121	892,000000E+0	1,317000E+3	0,000000E+0	0,000000E+0
122	891,000000E+0	1,319000E+3	0,000000E+0	0,000000E+0
123	890,000000E+0	1,321000E+3	0,000000E+0	0,000000E+0
124	889,000000E+0	1,323000E+3	0,000000E+0	0,000000E+0
125	888,000000E+0	1,325000E+3	0,000000E+0	0,000000E+0
126	887,000000E+0	1,327000E+3	0,000000E+0	0,000000E+0
127	886,000000E+0	1,329000E+3	0,000000E+0	0,000000E+0
128	886,000000E+0	1,331000E+3	0,000000E+0	0,000000E+0
129	885,000000E+0	1,332000E+3	0,000000E+0	0,000000E+0
130	884,000000E+0	1,334000E+3	0,000000E+0	0,000000E+0
131	883,000000E+0	1,336000E+3	0,000000E+0	0,000000E+0
132	882,000000E+0	1,338000E+3	0,000000E+0	0,000000E+0
133	881,000000E+0	1,340000E+3	0,000000E+0	0,000000E+0
134	881,000000E+0	1,342000E+3	0,000000E+0	0,000000E+0
135	880,000000E+0	1,343000E+3	0,000000E+0	0,000000E+0
136	879,000000E+0	1,345000E+3	0,000000E+0	0,000000E+0
137	878,000000E+0	1,347000E+3	0,000000E+0	0,000000E+0
138	877,000000E+0	1,349000E+3	0,000000E+0	0,000000E+0
139	877,000000E+0	1,351000E+3	0,000000E+0	0,000000E+0
140	875,000000E+0	1,353000E+3	0,000000E+0	0,000000E+0
141	875,000000E+0	1,355000E+3	0,000000E+0	0,000000E+0
142	873,000000E+0	1,357000E+3	0,000000E+0	0,000000E+0
143	873,000000E+0	1,358000E+3	0,000000E+0	0,000000E+0
144	872,000000E+0	1,360000E+3	0,000000E+0	0,000000E+0
145	872,000000E+0	1,361000E+3	0,000000E+0	0,000000E+0
146	871,000000E+0	1,363000E+3	0,000000E+0	0,000000E+0
147	870,000000E+0	1,365000E+3	0,000000E+0	0,000000E+0
148	869,000000E+0	1,366000E+3	0,000000E+0	0,000000E+0
149	868,000000E+0	1,368000E+3	0,000000E+0	0,000000E+0
150	868,000000E+0	1,369000E+3	0,000000E+0	0,000000E+0
151	866,000000E+0	1,371000E+3	0,000000E+0	0,000000E+0
152	866,000000E+0	1,372000E+3	0,000000E+0	0,000000E+0
153	865,000000E+0	1,374000E+3	0,000000E+0	0,000000E+0
154	864,000000E+0	1,376000E+3	0,000000E+0	0,000000E+0
155	864,000000E+0	1,377000E+3	0,000000E+0	0,000000E+0
156	864,000000E+0	1,380000E+3	0,000000E+0	0,000000E+0
157	863,000000E+0	1,380000E+3	0,000000E+0	0,000000E+0
158	862,000000E+0	1,382000E+3	0,000000E+0	0,000000E+0
