vendredi 13 décembre 2024	11:04:04	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
91	65,535000E+3	8,000000E+0	11,000000E+0	65,528000E+3
92	65,535000E+3	6,000000E+0	9,000000E+0	65,531000E+3
93	65,535000E+3	9,000000E+0	10,000000E+0	65,528000E+3
94	0,000000E+0	6,000000E+0	8,000000E+0	65,532000E+3
95	65,534000E+3	9,000000E+0	10,000000E+0	65,529000E+3
96	65,535000E+3	6,000000E+0	9,000000E+0	65,530000E+3
97	65,534000E+3	10,000000E+0	10,000000E+0	65,531000E+3
98	65,535000E+3	4,000000E+0	8,000000E+0	65,532000E+3
99	65,534000E+3	8,000000E+0	10,000000E+0	65,528000E+3
100	0,000000E+0	6,000000E+0	9,000000E+0	65,532000E+3
101	65,534000E+3	8,000000E+0	10,000000E+0	65,529000E+3
102	65,535000E+3	6,000000E+0	9,000000E+0	65,532000E+3
103	65,535000E+3	9,000000E+0	10,000000E+0	65,529000E+3
104	65,535000E+3	7,000000E+0	8,000000E+0	65,532000E+3
105	65,534000E+3	11,000000E+0	10,000000E+0	65,528000E+3
106	65,535000E+3	8,000000E+0	11,000000E+0	65,530000E+3
107	65,535000E+3	10,000000E+0	11,000000E+0	65,528000E+3
108	65,535000E+3	7,000000E+0	12,000000E+0	65,530000E+3
109	65,534000E+3	12,000000E+0	10,000000E+0	65,526000E+3
110	65,535000E+3	6,000000E+0	10,000000E+0	65,530000E+3
111	65,534000E+3	9,000000E+0	12,000000E+0	65,528000E+3
112	65,535000E+3	6,000000E+0	11,000000E+0	65,528000E+3
113	65,533000E+3	9,000000E+0	12,000000E+0	65,528000E+3
114	65,534000E+3	7,000000E+0	10,000000E+0	65,531000E+3
115	65,532000E+3	10,000000E+0	12,000000E+0	65,528000E+3
116	65,533000E+3	6,000000E+0	10,000000E+0	65,529000E+3
117	65,532000E+3	9,000000E+0	12,000000E+0	65,526000E+3
118	65,534000E+3	7,000000E+0	11,000000E+0	65,528000E+3
119	65,532000E+3	10,000000E+0	12,000000E+0	65,526000E+3
120	65,534000E+3	8,000000E+0	10,000000E+0	65,529000E+3
121	65,534000E+3	11,000000E+0	12,000000E+0	65,524000E+3
122	65,535000E+3	7,000000E+0	11,000000E+0	65,527000E+3
123	65,534000E+3	12,000000E+0	13,000000E+0	65,523000E+3
124	65,534000E+3	7,000000E+0	11,000000E+0	65,525000E+3
125	65,532000E+3	9,000000E+0	12,000000E+0	65,520000E+3
126	65,533000E+3	7,000000E+0	10,000000E+0	65,525000E+3
127	65,533000E+3	8,000000E+0	11,000000E+0	65,522000E+3
128	65,535000E+3	8,000000E+0	11,000000E+0	65,526000E+3
129	65,534000E+3	11,000000E+0	11,000000E+0	65,525000E+3
130	65,534000E+3	9,000000E+0	11,000000E+0	65,527000E+3
131	65,534000E+3	10,000000E+0	14,000000E+0	65,524000E+3
132	65,533000E+3	8,000000E+0	11,000000E+0	65,528000E+3
133	65,533000E+3	11,000000E+0	12,000000E+0	65,525000E+3
134	65,534000E+3	10,000000E+0	11,000000E+0	65,527000E+3
