time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
60.57999999999991,-0.614275715220199,-0.30728420087939373,1.2273240296392987,0.6782229460064277,-0.0732761333085576,-1.1516843689758514,-0.07481061343730992,-1.1535207201456414,0.2048778199671409
60.59999999999991,-0.6197081493617221,-0.3060674228783872,1.208132332642224,0.6781900604994642,-0.0732761333085576,-1.1516843689758514,-0.07523800699263809,-1.1536479074484722,0.2048778199671409
60.61999999999991,-0.6225715663872977,-0.30474158037869786,1.184814671522606,0.6781449973594628,-0.0732761333085576,-1.1516843689758514,-0.07570305865669245,-1.1538127681270738,0.2048778199671409
60.63999999999991,-0.6228523324493458,-0.30328010985880094,1.1576179910090956,0.6780842806953075,-0.0732761333085576,-1.1516843689758514,-0.07621467140147241,-1.1540184575828079,0.2048778199671409
60.65999999999991,-0.620574960116384,-0.30165360553390025,1.1268356683441523,0.6780032366129842,-0.0732761333085576,-1.1516843689758514,-0.07678258258195811,-1.1542688791981495,0.2048778199671409
60.67999999999991,-0.615803029444978,-0.2998292869922202,1.0928089130336178,0.6778956491880395,-0.0732761333085576,-1.1516843689758514,-0.07741749865582653,-1.154568729135883,0.2048778199671409
60.69999999999991,-0.6086396673570393,-0.2977703840197441,1.0559295946070493,0.6777533095046743,-0.0732761333085576,-1.1516843689758514,-0.07813124277545888,-1.154923552969499,0.2048778199671409
60.719999999999914,-0.5992278707623429,-0.2954353338450425,1.0166449616410345,0.6775654206079342,-0.0732761333085576,-1.1516843689758514,-0.07893694700834182,-1.1553398320699355,0.2048778199671409
60.73999999999991,-0.5877509417862333,-0.29277659525967614,0.9754647641875397,0.6773177946126959,-0.0732761333085576,-1.1516843689758514,-0.07984934931417409,-1.155825134294492,0.2048778199671409
60.75999999999991,-0.5744332336091817,-0.2897387702753913,0.9329713072025958,0.6769917298169855,-0.0732761333085576,-1.1516843689758514,-0.0808852885850361,-1.1563883829216683,0.2048778199671409
60.77999999999991,-0.5595412782383418,-0.2862556237144845,0.8898328354752463,0.6765623765200146,-0.0732761333085576,-1.1516843689758514,-0.08206451455348295,-1.1570403115194732,0.2048778199671409
60.79999999999991,-0.5433851524851443,-0.28224558650604986,0.8468201347739631,0.6759962890820509,-0.0732761333085576,-1.1516843689758514,-0.08341091366986671,-1.1577941633307098,0.2048778199671409
60.81999999999991,-0.526319547817325,-0.277605562605056,0.804824868981598,0.6752477415384767,-0.0732761333085576,-1.1516843689758514,-0.08495414972803333,-1.1586666341864857,0.2048778199671409
60.83999999999991,-0.5087432775613698,-0.2722035365140839,0.7648752621815039,0.6742533313001526,-0.0732761333085576,-1.1516843689758514,-0.08673146845257675,-1.15967891260171,0.2048778199671409
60.859999999999914,-0.49109470485105866,-0.26587182677752497,0.7281395893106012,0.672924585927884,-0.0732761333085576,-1.1516843689758514,-0.08878896493999851,-1.1608574083902554,0.2048778199671409
60.87999999999991,-0.4738388452106436,-0.2584047963971144,0.6959009789659086,0.6711390046008086,-0.0732761333085576,-1.1516843689758514,-0.09118102298554773,-1.16223332292652,0.2048778199671409
60.89999999999991,-0.4574411596753129,-0.2495676513543097,0.6694812667197289,0.6687317776332853,-0.0732761333085576,-1.1516843689758514,-0.0939659149959556,-1.1638397918916985,0.2048778199671409
60.91999999999991,-0.4423272809742891,-0.23912763376368112,0.6500943508238557,0.6654945519556658,-0.0732761333085576,-1.1516843689758514,-0.09719455284871555,-1.1657056330418656,0.2048778199671409
60.93999999999991,-0.42883733368130283,-0.22691642906891046,0.638638390888514,0.661192286352115,-0.0732761333085576,-1.1516843689758514,-0.10089093603273021,-1.1678441829349215,0.2048778199671409
60.95999999999991,-0.4172009729123133,-0.2129277350004391,0.6354861964192737,0.6556136882701182,-0.0732761333085576,-1.1516843689758514,-0.10502523957835133,-1.170237648064513,0.2048778199671409
60.97999999999991,-0.40436142871340763,-0.20267622887429507,0.643506016126186,0.6511043492314557,-0.07327613330855762,-1.1516843689758514,-0.10948660542259538,-1.1728211963609299,0.2048778199671409
60.99999999999991,-0.3956558321019327,-0.18712730249467563,0.6510086115038066,0.6436149515958709,-0.15034003175215993,-1.1965799586307635,-0.1140736167765352,-1.175477330903862,0.2048778199671409
61.01999999999991,-0.38674145567607277,-0.17215855862655408,0.6573918679673785,0.6364053087481596,-0.15034003175215965,-1.1965799586307637,-0.11853563246396193,-1.1780599059816235,0.2048778199671409
61.03999999999991,-0.3780983486256017,-0.16188735949712746,0.6625224643447687,0.6361555081010517,-0.15034003175215965,-1.1965799586307637,-0.12267122220282786,-1.18045143064256,0.2048778199671409
61.05999999999991,-0.3700667064800701,-0.15730327894808427,0.6664830360872656,0.6442810769206126,-0.15034003175215965,-1.1965799586307637,-0.12636947380353783,-1.1825871103243457,0.2048778199671409
61.079999999999906,-0.3628207606374431,-0.15835564543704245,0.6694657087180457,0.6605693225175239,-0.15034003175215965,-1.1965799586307637,-0.12960042350411707,-1.1844492620000908,0.2048778199671409
61.09999999999991,-0.3564003829712264,-0.16461091929791302,0.6716852673166551,0.6842506339050246,-0.15034003175215965,-1.1965799586307637,-0.13238781148180964,-1.186051439231638,0.2048778199671409
61.119999999999905,-0.3507613486461949,-0.17541018712315337,0.6733325639091848,0.7141897268431262,-0.15034003175215965,-1.1965799586307637,-0.13478218919079243,-1.187422764384675,0.2048778199671409
61.13999999999991,-0.3458202764447267,-0.19001373470405986,0.6745588702154333,0.7490943764709811,-0.15034003175215965,-1.1965799586307637,-0.1368415164379036,-1.1885966236326084,0.2048778199671409
61.159999999999904,-0.3414849868879419,-0.20770081502743099,0.6754768958160934,0.7876746080476741,-0.15034003175215965,-1.1965799586307637,-0.13862011070073077,-1.1896042259397963,0.2048778199671409
61.17999999999991,-0.3376704286881254,-0.22782177066956608,0.6761681290883681,0.828734501890423,-0.15034003175215965,-1.1965799586307637,-0.1401640577339284,-1.1904719240149184,0.2048778199671409
61.19999999999991,-0.3343042911500663,-0.24981489910956264,0.6766909984333904,0.8712094762423617,-0.15034003175215965,-1.1965799586307637,-0.14151058760775376,-1.1912208432487865,0.2048778199671409
61.21999999999991,-0.33132685986830807,-0.27320304416213337,0.6770876612023979,0.914170280909776,-0.15034003175215965,-1.1965799586307637,-0.14268934106403916,-1.1918676098777246,0.2048778199671409
61.23999999999991,-0.3286885471134187,-0.297581308371738,0.6773889645905814,0.9568111631218957,-0.15034003175215965,-1.1965799586307637,-0.14372417316355085,-1.1924253902339281,0.2048778199671409
61.259999999999906,-0.3263471080821859,-0.32260260588602707,0.6776178352538857,0.9984329944960536,-0.15034003175215965,-1.1965799586307637,-0.14463479296334597,-1.1929048325332785,0.2048778199671409
61.27999999999991,-0.3242654256188562,-0.34796422187081255,0.6777915326517315,1.0384267821011053,-0.15034003175215965,-1.1965799586307637,-0.1454379883381321,-1.1933147649103393,0.2048778199671409
61.299999999999905,-0.32241005225875363,-0.373396457956351,0.6779231540318797,1.0762597261413847,-0.15034003175215965,-1.1965799586307637,-0.1461484346656837,-1.1936626487240278,0.2048778199671409
61.31999999999991,-0.3207503712647428,-0.39865346149192493,0.6780226689964125,1.1114643386658667,-0.15034003175215965,-1.1965799586307637,-0.14677918844156493,-1.1939548457014786,0.2048778199671409
61.33999999999991,-0.31925814766981775,-0.42350600601336397,0.6780976595529481,1.143630437407213,-0.15034003175215965,-1.1965799586307637,-0.14734198260116813,-1.1941967665754993,0.2048778199671409
61.35999999999991,-0.3179072687325534,-0.4477359721841432,0.678153868815216,1.1723995954572652,-0.15034003175215965,-1.1965799586307637,-0.1478474168285507,-1.194392955118287,0.2048778199671409
61.37999999999991,-0.3166735408903923,-0.4711323679758744,0.6781956170139393,1.1974615872896224,-0.15034003175215965,-1.1965799586307637,-0.14830510294801566,-1.1945471420699585,0.2048778199671409
61.399999999999906,-0.3155344745627943,-0.49348881854905924,0.6782261190120898,1.218552393763101,-0.15034003175215965,-1.1965799586307637,-0.14872379711344258,-1.194662286832988,0.2048778199671409
61.41999999999991,-0.3144690328897558,-0.5146025053220804,0.6782477249099036,1.2354533623516264,-0.15034003175215965,-1.1965799586307637,-0.14911153151863688,-1.1947406136139154,0.2048778199671409
61.439999999999905,-0.3134573446358208,-0.5342745286834613,0.6782620987776495,1.2479911516971247,-0.15034003175215965,-1.1965799586307637,-0.14947574812826658,-1.1947836425731728,0.2048778199671409
61.45999999999991,-0.3124803903194525,-0.552311616157491,0.6782703467000144,1.2560381248525616,-0.15034003175215965,-1.1965799586307637,-0.14982343291196143,-1.1947922140048366,0.2048778199671409
61.479999999999905,-0.3115196705294413,-0.5685290138312779,0.6782731024964465,1.259512900192604,-0.15034003175215965,-1.1965799586307637,-0.15016124857623384,-1.194766503076921,0.2048778199671409
61.49999999999991,-0.3105568615003778,-0.5827543050963763,0.6782705770069899,1.2583808281142908,-0.15034003175215965,-1.1965799586307637,-0.1504956647922993,-1.1947060230939692,0.2048778199671409
61.51999999999991,-0.309573458651891,-0.5948318204806697,0.6782625744658859,1.2526542365398263,-0.15034003175215965,-1.1965799586307637,-0.15083308614044777,-1.194609615963496,0.2048778199671409
61.53999999999991,-0.30855040572316134,-0.6046272562640178,0.6782484771559767,1.242392375703413,-0.15034003175215965,-1.1965799586307637,-0.15117997877199355,-1.194475429320413,0.2048778199671409
61.55999999999991,-0.30746770607330437,-0.6120321215947383,0.6782271972195452,1.22770108611151,-0.15034003175215965,-1.1965799586307637,-0.15154299686952719,-1.1943008805920878,0.2048778199671409
61.579999999999906,-0.3063040136599049,-0.6169676878017455,0.6781970921750715,1.20873230462891,-0.15034003175215965,-1.1965799586307637,-0.15192910937146573,-1.1940826092365966,0.2048778199671409
61.59999999999991,-0.30503620341036763,-0.6193882122848295,0.678155838328107,1.1856836047409132,-0.15034003175215965,-1.1965799586307637,-0.15234572637055876,-1.1938164193962164,0.2048778199671409
61.619999999999905,-0.30363892233114104,-0.6192833361290118,0.6781002537987004,1.1587980334110533,-0.15034003175215965,-1.1965799586307637,-0.15280082369868736,-1.1934972158809218,0.2048778199671409
61.63999999999991,-0.3020841202350031,-0.6166796873262144,0.6780260600817184,1.1283645581990474,-0.15034003175215965,-1.1965799586307637,-0.15330306459330612,-1.1931189357947138,0.2048778199671409
61.659999999999904,-0.30034054665346793,-0.611641837515688,0.6779275672247236,1.094719478747876,-0.15034003175215965,-1.1965799586307637,-0.15386192077944932,-1.1926744746308895,0.2048778199671409
61.67999999999991,-0.2983731704592445,-0.6042728406687102,0.6777972612033497,1.0582491940113705,-0.15034003175215965,-1.1965799586307637,-0.15448780411777552,-1.1921555971218547,0.2048778199671409
61.69999999999991,-0.29614242262900686,-0.5947146151623488,0.6776252595506205,1.0193947572310855,-0.15034003175215965,-1.1965799586307637,-0.1551922363815518,-1.191552807439903,0.2048778199671409
61.71999999999991,-0.2936030762131641,-0.5831484117096076,0.6773985769943531,0.9786586903176124,-0.15034003175215965,-1.1965799586307637,-0.15598810927084863,-1.1908551299923615,0.2048778199671409
61.73999999999991,-0.290702469597483,-0.569795538829958,0.67710009864694,0.93661453274687,-0.15034003175215965,-1.1965799586307637,-0.15689011548026854,-1.1900497247870772,0.2048778199671409
61.759999999999906,-0.2873776846783351,-0.5549183912576968,0.6767070860176886,0.8939194649103812,-0.15034003175215965,-1.1965799586307637,-0.15791545196846066,-1.1891212420263986,0.2048778199671409
61.77999999999991,-0.2835512892266944,-0.5388216195678884,0.6761889397112522,0.8513298449992641,-0.15034003175215965,-1.1965799586307637,-0.15908488297955625,-1.1880508334100761,0.2048778199671409
61.799999999999905,-0.2791254790389457,-0.5218529175714984,0.675503833327702,0.8097182128821353,-0.15034003175215965,-1.1965799586307637,-0.16042416179668734,-1.1868148214484766,0.2048778199671409
61.81999999999991,-0.27397510448168055,-0.5044022481466678,0.6745937861516957,0.7700876188289769,-0.15034003175215965,-1.1965799586307637,-0.16196559419156129,-1.1853832325930627,0.2048778199671409
61.83999999999991,-0.26794135327133406,-0.4868972344254291,0.6733779191496061,0.7335744251474942,-0.15034003175215965,-1.1965799586307637,-0.16374913675506828,-1.1837187690375084,0.2048778199671409
61.85999999999991,-0.26082969256765104,-0.46979092762708563,0.6717442899735748,0.7014244382139878,-0.15034003175215965,-1.1965799586307637,-0.1658219353143028,-1.1817773604959125,0.2048778199671409
61.87999999999991,-0.2524183353569987,-0.45353759344157096,0.6695423551752413,0.6749220122437326,-0.15034003175215965,-1.1965799586307637,-0.16823458579141765,-1.1795120299548594,0.2048778199671409
61.899999999999906,-0.24248825438738597,-0.4385562619973844,0.6665819813654091,0.6552538404968596,-0.15034003175215965,-1.1965799586307637,-0.17103132493458248,-1.17688185026846,0.2048778199671409
61.91999999999991,-0.2308827408201386,-0.4251896160796125,0.6626490875763789,0.6433154203732726,-0.15034003175215965,-1.1965799586307637,-0.17423305240178139,-1.1738677704397407,0.2048778199671409
61.939999999999905,-0.2175999528534151,-0.4136813780221409,0.6575520259390838,0.6395132271494582,-0.15034003175215965,-1.1965799586307637,-0.17781402948077984,-1.1704946476637033,0.2048778199671409
61.95999999999991,-0.19716875661138641,-0.4077028483140219,0.64853966930268,0.6402387423290985,-0.15034003175215965,-1.1965799586307635,-0.1816783419151706,-1.1668535985478141,0.2048778199671409
61.979999999999905,-0.18075911277752338,-0.3987946732433626,0.6403289194129155,0.6484604958690064,-0.21704265512010856,-1.1334190590043787,-0.18565167295340904,-1.1631098744870292,0.2048778199671409
61.99999999999991,-0.16492110417593892,-0.38963606199649525,0.632330374647213,0.6554493470472517,-0.21704265512010848,-1.133419059004379,-0.1895170952814175,-1.159469041543471,0.2048778199671409
62.019999999999904,-0.15388358050747603,-0.3807274625205693,0.6313658474823598,0.6610626207049565,-0.21704265512010848,-1.133419059004379,-0.1931002814816943,-1.1560963416302552,0.2048778199671409
62.03999999999991,-0.1486914508311539,-0.3724280814222772,0.6389407334627039,0.6653933614463374,-0.21704265512010848,-1.133419059004379,-0.19630526268086507,-1.1530828581503567,0.2048778199671409
62.0599999999999,-0.14931508271409916,-0.3649257216877687,0.6548856910520814,0.6686534246020495,-0.21704265512010848,-1.133419059004379,-0.19910614764242773,-1.150453368248668,0.2048778199671409
62.079999999999906,-0.1553186806690267,-0.3582677908360103,0.6784353719088303,0.6710786410833983,-0.21704265512010848,-1.133419059004379,-0.20152354182092458,-1.1481886751363828,0.2048778199671409
62.0999999999999,-0.16602558826863764,-0.3524128953759291,0.7084299161877515,0.6728781536585617,-0.21704265512010848,-1.133419059004379,-0.20360127044027382,-1.1462476500843977,0.2048778199671409
62.119999999999905,-0.18067186518025263,-0.34727759144904324,0.7435387259229032,0.6742175454490731,-0.21704265512010848,-1.133419059004379,-0.20538958446589056,-1.1445831363359154,0.2048778199671409
62.1399999999999,-0.19851274344280678,-0.3427682361475291,0.7824318169813199,0.6752201009100147,-0.21704265512010848,-1.133419059004379,-0.2069355963144116,-1.1431510091697281,0.2048778199671409
62.159999999999904,-0.2188781802235159,-0.33879785984647937,0.8238782716987483,0.6759749104453845,-0.21704265512010848,-1.133419059004379,-0.2082793086757741,-1.1419139422660032,0.2048778199671409
62.17999999999991,-0.24119064076571733,-0.3352922502360521,0.8667856366498171,0.6765458307170182,-0.21704265512010848,-1.133419059004379,-0.20945307614874228,-1.1408419259250768,0.2048778199671409
62.1999999999999,-0.26496124217179967,-0.3321899727759948,0.9102035012589329,0.6769789234703556,-0.21704265512010848,-1.133419059004379,-0.21048270353667084,-1.1399112377541638,0.2048778199671409
62.21999999999991,-0.2897765189863656,-0.32943991097894937,0.9533102958415338,0.677307885915132,-0.21704265512010848,-1.133419059004379,-0.21138900966638574,-1.1391029746639079,0.2048778199671409
62.2399999999999,-0.31528299698789186,-0.326998438460043,0.995394959330786,0.6775577589538332,-0.21704265512010848,-1.133419059004379,-0.21218924975497652,-1.1384017209352464,0.2048778199671409
62.259999999999906,-0.34117292359938434,-0.32482715718372884,1.0358392414512752,0.6777473913613953,-0.21704265512010848,-1.133419059004379,-0.21289817920003512,-1.1377945580971809,0.2048778199671409
62.2799999999999,-0.36717226827995053,-0.3228914091161781,1.074102872156087,0.6778910850832032,-0.21704265512010848,-1.133419059004379,-0.21352875773949273,-1.1372704178692177,0.2048778199671409
62.299999999999905,-0.3930310671537525,-0.3211594235231384,1.1097120757994068,0.677999725952822,-0.21704265512010848,-1.133419059004379,-0.21409258153124222,-1.1368196956108507,0.2048778199671409
62.31999999999991,-0.41851584501383743,-0.3196018648474521,1.1422511815786847,0.6780815923257102,-0.21704265512010848,-1.133419059004379,-0.2146001443187778,-1.136434028900088,0.2048778199671409
62.339999999999904,-0.44340383740949546,-0.31819157401175624,1.1713568538977999,0.6781429545013956,-0.21704265512010848,-1.133419059004379,-0.21506100852510007,-1.136106165177365,0.2048778199671409
62.35999999999991,-0.4674788367226742,-0.31690336565612737,1.196714438651466,0.6781885291104427,-0.21704265512010848,-1.133419059004379,-0.21548393841245603,-1.135829869651296,0.2048778199671409
62.3799999999999,-0.4905285872186118,-0.31571381039760316,1.2180559540983575,0.6782218258717799,-0.21704265512010848,-1.133419059004379,-0.2158770229027475,-1.13559984800531,0.2048778199671409
62.399999999999906,-0.5123437080281078,-0.3146009776416669,1.235159295242958,0.6782454103278867,-0.21704265512010848,-1.133419059004379,-0.21624779924519655,-1.135411674119799,0.2048778199671409
62.4199999999999,-0.5327181182846137,-0.3135441395463169,1.2478482571140754,0.6782610989988438,-0.21704265512010848,-1.133419059004379,-0.21660337990804346,-1.135261721547874,0.2048778199671409
62.439999999999905,-0.5514508823786541,-0.312523445870838,1.2559930198079403,0.6782700991779574,-0.21704265512010848,-1.133419059004379,-0.21695058164165257,-1.135147100949545,0.2048778199671409
62.4599999999999,-0.5683493030750743,-0.3115195792698508,1.2595107850578793,0.6782731025072665,-0.21704265512010848,-1.133419059004379,-0.2172960552875256,-1.1350656062705993,0.2048778199671409
62.479999999999905,-0.5832329894015379,-0.3105133964699938,1.2583663165939214,0.6782703387655827,-0.21704265512010848,-1.133419059004379,-0.21764641581288618,-1.1350156717646562,0.2048778199671409
62.49999999999991,-0.5959385399072762,-0.3094855561485809,1.2525722162688426,0.6782615937147242,-0.21704265512010848,-1.133419059004379,-0.21800837310692983,-1.134996340948163,0.2048778199671409
62.519999999999904,-0.6063244325595046,-0.30841613107033655,1.242188861492196,0.6782461923046705,-0.21704265512010848,-1.133419059004379,-0.2183888646744361,-1.1350072476593538,0.2048778199671409
62.53999999999991,-0.6142757152201981,-0.30728420087939334,1.2273240296392989,0.6782229460064277,-0.21704265512010848,-1.133419059004379,-0.21879519124478805,-1.135048608640327,0.2048778199671409
62.5599999999999,-0.6197081493617214,-0.30606742287838695,1.2081323326422242,0.6781900604994642,-0.21704265512010848,-1.133419059004379,-0.21923515547020828,-1.1351212264169923,0.2048778199671409
62.579999999999906,-0.6225715663872969,-0.30474158037869775,1.1848146715226062,0.6781449973594628,-0.21704265512010848,-1.133419059004379,-0.21971720258492408,-1.1352265006910711,0.2048778199671409
62.5999999999999,-0.6228523324493453,-0.30328010985880083,1.1576179910090958,0.6780842806953075,-0.21704265512010848,-1.133419059004379,-0.22025056083499733,-1.1353664461443742,0.2048778199671409
62.619999999999905,-0.6205749601163834,-0.3016536055339001,1.1268356683441525,0.6780032366129842,-0.21704265512010848,-1.133419059004379,-0.22084538001700324,-1.135543714965854,0.2048778199671409
62.6399999999999,-0.6158030294449774,-0.29982928699222,1.0928089130336183,0.6778956491880395,-0.21704265512010848,-1.133419059004379,-0.22151287075026918,-1.1357616244126878,0.2048778199671409
62.659999999999904,-0.6086396673570389,-0.2977703840197439,1.0559295946070497,0.6777533095046743,-0.21704265512010848,-1.133419059004379,-0.222265458002746,-1.136024194495944,0.2048778199671409
62.67999999999991,-0.5992278707623422,-0.295435333845042,1.0166449616410351,0.6775654206079342,-0.21704265512010848,-1.133419059004379,-0.22311698262282345,-1.1363362095945333,0.2048778199671409
62.6999999999999,-0.5877509417862327,-0.2927765952596758,0.9754647641875402,0.6773177946126959,-0.21704265512010848,-1.133419059004379,-0.2240830148610125,-1.1367033307347951,0.2048778199671409
62.71999999999991,-0.5744332336091812,-0.28973877027539097,0.9329713072025964,0.6769917298169855,-0.21704265512010848,-1.133419059004379,-0.22518137921304837,-1.1371323003597187,0.2048778199671409
62.7399999999999,-0.5595412782383411,-0.28625562371448415,0.8898328354752464,0.6765623765200146,-0.21704265512010848,-1.133419059004379,-0.2264330149517322,-1.1376312921020797,0.2048778199671409
62.759999999999906,-0.5433851524851437,-0.28224558650604953,0.8468201347739636,0.6759962890820509,-0.21704265512010848,-1.133419059004379,-0.22786327999406397,-1.1382104510116957,0.2048778199671409
62.7799999999999,-0.5263195478173247,-0.27760556260505564,0.8048248689815984,0.6752477415384767,-0.21704265512010848,-1.133419059004379,-0.22950369676851468,-1.1388826234088563,0.2048778199671409
62.799999999999905,-0.5087432775613696,-0.2722035365140835,0.7648752621815044,0.6742533313001526,-0.21704265512010848,-1.133419059004379,-0.23139387293110306,-1.1396641626036017,0.2048778199671409
62.81999999999991,-0.4910947048510582,-0.26587182677752436,0.7281395893106019,0.6729245859278836,-0.21704265512010848,-1.133419059004379,-0.2335828501320974,-1.140575492913039,0.2048778199671409
62.839999999999904,-0.4738388452106431,-0.25840479639711367,0.6959009789659091,0.6711390046008082,-0.21704265512010848,-1.133419059004379,-0.23612849390342253,-1.141640753582497,0.2048778199671409
62.85999999999991,-0.4574411596753125,-0.24956765135430936,0.669481266719729,0.6687317776332853,-0.21704265512010848,-1.133419059004379,-0.2390927701585479,-1.1428855155392645,0.2048778199671409
62.8799999999999,-0.44232728097428875,-0.23912763376368046,0.6500943508238562,0.6654945519556654,-0.21704265512010848,-1.133419059004379,-0.24252980114215925,-1.144331988352568,0.2048778199671409
62.899999999999906,-0.42883733368130245,-0.2269164290689099,0.6386383908885148,0.6611922863521146,-0.21704265512010848,-1.133419059004379,-0.2464650686139471,-1.145990395484018,0.2048778199671409
62.9199999999999,-0.41720097291231295,-0.21292773500043846,0.6354861964192745,0.6556136882701179,-0.21704265512010848,-1.133419059004379,-0.2508667526653695,-1.1478468217942603,0.2048778199671409
62.939999999999905,-0.404361428713407,-0.20267622887429468,0.643506016126186,0.6511043492314557,-0.21704265512010848,-1.133419059004379,-0.2556167437694458,-1.1498508406333192,0.2048778199671409
62.9599999999999,-0.3956558321019321,-0.18712730249467524,0.6510086115038066,0.6436149515958709,-0.2991257911308389,-1.1683019659421925,-0.2605004870998335,-1.1519111257966461,0.2048778199671409
62.979999999999905,-0.3867414556760722,-0.1721585586265536,0.6573918679673789,0.6364053087481596,-0.29912579113083815,-1.1683019659421923,-0.26525100094624376,-1.1539140976442217,0.2048778199671409
