time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
0.0,-9.710993202687197e-9,-9.710993202687197e-9,2.1073424255447017e-8,2.1073424255447017e-8,-7.590338906473724e-16,1.18,0.0,1.18,0.23159287720883517
0.02,-0.002152041029586094,-0.002152041029586094,0.0046700548701355225,0.0046700548701355225,-7.590338906473724e-16,1.18,-9.916622500069886e-18,1.1799926424343186,0.2315915983056149
0.04,-0.004298325086628053,-0.004298325086628053,0.009327621055756666,0.009327621055756666,-7.590338906473724e-16,1.18,-6.878126235727159e-17,1.1799493833242678,0.23158777527406338
0.06,-0.0064388415698457225,-0.0064388415698457225,0.013972679769196743,0.013972679769196743,-7.590338906473724e-16,1.18,-1.7960354020920177e-16,1.179870015102896,0.2315814286313446
0.08,-0.008573579799313707,-0.008573579799313707,0.018605211983921444,0.018605211983921444,-7.590338906473724e-16,1.18,-3.198635547454058e-16,1.1797732833556864,0.2315725788946225
0.1,-0.010702529016172116,-0.010702529016172116,0.02322519843436284,0.02322519843436284,-7.590338906473724e-16,1.18,-4.644992930254653e-16,1.179678762230043,0.231561246581061
0.12,-0.01282567838197151,-0.01282567838197151,0.02783261961494149,0.02783261961494149,-7.590338906473724e-16,1.18,-5.9555049809989055e-16,1.1795996524944699,0.23154745220782413
0.14,-0.014943016978134797,-0.014943016978134797,0.032427455779334716,0.032427455779334716,-7.590338906473724e-16,1.18,-7.039153486377357e-16,1.1795418377395073,0.23153121629207585
0.16,-0.01705453380539175,-0.01705453380539175,0.037009686939687376,0.037009686939687376,-7.590338906473724e-16,1.18,-7.875024417195751e-16,1.1795056683019547,0.23151255935098008
0.18,-0.019160217783298596,-0.019160217783298596,0.041579292865984295,0.041579292865984295,-7.590338906473724e-16,1.18,-8.484532751745673e-16,1.1794883341844156,0.2314915019017008
0.2,-0.021260057749586773,-0.021260057749586773,0.04613625308504743,0.04613625308504743,-7.590338906473724e-16,1.18,-8.907544716985559e-16,1.1794858149396248,0.23146806446140197
0.22,-0.02335404245971026,-0.02335404245971026,0.05068054687996677,0.05068054687996677,-7.590338906473724e-16,1.18,-9.18663659920392e-16,1.1794941158644863,0.23144226754724756
0.24,-0.025442160586194924,-0.025442160586194924,0.05521215328907599,0.05521215328907599,-7.590338906473724e-16,1.18,-9.359004483895754e-16,1.1795098667986508,0.23141413167640154
0.26,-0.02752440071811013,-0.02752440071811013,0.05973105110520446,0.05973105110520446,-7.590338906473724e-16,1.18,-9.453769866148564e-16,1.1795304867989729,0.23138367736602783
0.28,-0.02960075136049977,-0.02960075136049977,0.06423721887481547,0.06423721887481547,-7.590338906473724e-16,1.18,-9.492315695439875e-16,1.179554114682927,0.23135092513329042
0.3,-0.03167120093381534,-0.03167120093381534,0.0687306348971579,0.0687306348971579,-7.590338906473724e-16,1.18,-9.489874054130564e-16,1.179579450626395,0.23131589549535328
0.32,-0.03373573777332089,-0.03373573777332089,0.07321127722333778,0.07321127722333778,-7.590338906473724e-16,1.18,-9.457298017634795e-16,1.1796055930325497,0.23127860896938035
0.34,-0.03579435012850432,-0.03579435012850432,0.07767912365540099,0.07767912365540099,-7.590338906473724e-16,1.18,-9.402522744518736e-16,1.1796319076611976,0.23123908607253563
0.36,-0.037847026162508714,-0.037847026162508714,0.08213415174545524,0.08213415174545524,-7.590338906473724e-16,1.18,-9.331585190533295e-16,1.1796579368888165,0.23119734732198302
0.38,-0.03989375395153303,-0.03989375395153303,0.08657633879471376,0.08657633879471376,-7.590338906473724e-16,1.18,-9.249255356581074e-16,1.1796833429096771,0.23115341323488656
0.4,-0.04193452148422798,-0.04193452148422798,0.09100566185252355,0.09100566185252355,-7.590338906473724e-16,1.18,-9.159393671531153e-16,1.1797078744605212,0.23110730432841015
0.42,-0.04396931666110428,-0.04396931666110428,0.09542209771541518,0.09542209771541518,-7.590338906473724e-16,1.18,-9.065145094340288e-16,1.1797313475369686,0.23105904111971773
0.44,-0.04599812729390944,-0.04599812729390944,0.09982562292607683,0.09982562292607683,-7.590338906473724e-16,1.18,-8.969050866101384e-16,1.179753633307722,0.23100864412597336
0.46,-0.04802094110503273,-0.04802094110503273,0.10421621377238374,0.10421621377238374,-7.590338906473724e-16,1.18,-8.87312652661798e-16,1.1797746492135743,0.2309561338643409
0.48,-0.05003774572687501,-0.05003774572687501,0.10859384628634461,0.10859384628634461,-7.590338906473724e-16,1.18,-8.778929823408119e-16,1.1797943513184903,0.2309015308519844
0.5,-0.05204852870122442,-0.05204852870122442,0.11295849624305565,0.11295849624305565,-7.590338906473724e-16,1.18,-8.68762659081663e-16,1.179812727242815,0.23084485560606774
0.52,-0.05405327747863138,-0.05405327747863138,0.1173101391596446,0.1173101391596446,-7.590338906473724e-16,1.18,-8.600054931391638e-16,1.1798297896211178,0.23078612864375492
0.54,-0.0560519794177589,-0.0560519794177589,0.12164875029415963,0.12164875029415963,-7.590338906473724e-16,1.18,-8.516785382185896e-16,1.1798455702270112,0.2307253704822099
0.56,-0.05804462178476106,-0.05804462178476106,0.1259743046445102,0.1259743046445102,-7.590338906473724e-16,1.18,-8.438174768095564e-16,1.1798601148978045,0.23066260163859664
0.58,-0.0600311917526214,-0.0600311917526214,0.13028677694731824,0.13028677694731824,-7.590338906473724e-16,1.18,-8.364412460334624e-16,1.1798734793089816,0.23059784263007913
0.6,-0.06201167640049312,-0.06201167640049312,0.13458614167676383,0.13458614167676383,-7.590338906473724e-16,1.18,-8.295558843770623e-16,1.1798857255651207,0.23053111397382128
0.62,-0.06398606271304766,-0.06398606271304766,0.13887237304344785,0.13887237304344785,-7.590338906473724e-16,1.18,-8.231576569690889e-16,1.1798969195184192,0.23046243618698709
0.64,-0.06595433757979666,-0.06595433757979666,0.1431454449931908,0.1431454449931908,-7.590338906473724e-16,1.18,-8.172355567551586e-16,1.1799071287015408,0.2303918297867405
0.66,-0.06791648779442896,-0.06791648779442896,0.14740533120585667,0.14740533120585667,-7.590338906473724e-16,1.18,-8.11773289149774e-16,1.1799164207603137,0.23031931529024546
0.68,-0.06987250005411212,-0.06987250005411212,0.15165200509409799,0.15165200509409799,-7.590338906473724e-16,1.18,-8.067508401606528e-16,1.1799248622838878,0.23024491321466597
0.7,-0.07182236095880988,-0.07182236095880988,0.15588543980212888,0.15588543980212888,-7.590338906473724e-16,1.18,-8.021457125094287e-16,1.1799325179472175,0.23016864407716597
0.72,-0.0737660570105873,-0.0737660570105873,0.16010560820446904,0.16010560820446904,-7.590338906473724e-16,1.18,-7.97933897424598e-16,1.1799394498980367,0.23009052839490943
0.74,-0.07570357461289944,-0.07570357461289944,0.1643124829046423,0.1643124829046423,-7.590338906473724e-16,1.18,-7.940906349047114e-16,1.1799457173353605,0.23001058668506028
0.76,-0.07763490006988404,-0.07763490006988404,0.16850603623388574,0.16850603623388574,-7.590338906473724e-16,1.18,-7.905910034732127e-16,1.1799513762382754,0.22992883946478254
0.78,-0.07956001958563134,-0.07956001958563134,0.1726862402498013,0.1726862402498013,-7.590338906473724e-16,1.18,-7.874103716628877e-16,1.179956479212616,0.22984530725124014
0.8,-0.08147891926346683,-0.08147891926346683,0.17685306673502985,0.17685306673502985,-7.590338906473724e-16,1.18,-7.845247370594624e-16,1.1799610754297178,0.22976001056159703
0.82,-0.08339158510520295,-0.08339158510520295,0.1810064871958591,0.1810064871958591,-7.590338906473724e-16,1.18,-7.8191097400719315e-16,1.179965210636392,0.22967296991301717
0.84,-0.08529800301039994,-0.08529800301039994,0.18514647286084104,0.18514647286084104,-7.590338906473724e-16,1.18,-7.795470074660102e-16,1.1799689272191303,0.22958420582266453
0.86,-0.08719815877560368,-0.08719815877560368,0.18927299467936018,0.18927299467936018,-7.590338906473724e-16,1.18,-7.774119276183566e-16,1.1799722643086452,0.2294937388077031
0.88,-0.08909203809358743,-0.08909203809358743,0.19338602332020402,0.19338602332020402,-7.590338906473724e-16,1.18,-7.754860574171706e-16,1.1799752579134313,0.2294015893852968
0.9,-0.0909796265525788,-0.0909796265525788,0.197485529170099,0.197485529170099,-7.590338906473724e-16,1.18,-7.737509832149373e-16,1.17997794107318,0.2293077780726096
0.92,-0.09286090963547271,-0.09286090963547271,0.20157148233221198,0.20157148233221198,-7.590338906473724e-16,1.18,-7.721895568506619e-16,1.1799803440247176,0.2292123253868055
0.94,-0.09473587271903952,-0.09473587271903952,0.20564385262463827,0.20564385262463827,-7.590338906473724e-16,1.18,-7.707858760607016e-16,1.179982494374664,0.2291152518450484
0.96,-0.09660450107313309,-0.09660450107313309,0.20970260957888504,0.20970260957888504,-7.590338906473724e-16,1.18,-7.69525248795537e-16,1.179984417274292,0.2290165779645023
0.98,-0.09846677985986754,-0.09846677985986754,0.21374772243828444,0.21374772243828444,-7.590338906473724e-16,1.18,-7.6839414594482e-16,1.179986135593121,0.2289163242623312
1.0,-0.10032269413279418,-0.10032269413279418,0.21777916015640467,0.21777916015640467,-7.590338906473724e-16,1.18,-7.673801460737494e-16,1.1799876700886467,0.22881451125569896
1.02,-0.10217222883608129,-0.10217222883608129,0.22179689139546227,0.22179689139546227,-7.590338906473724e-16,1.18,-7.664718750308866e-16,1.1799890395702983,0.22871115946176962
1.04,-0.10401536880366152,-0.10401536880366152,0.2258008845246627,0.2258008845246627,-7.590338906473724e-16,1.18,-7.656589426775713e-16,1.1799902610562836,0.22860628939770714
1.06,-0.10585209875838289,-0.10585209875838289,0.22979110761854582,0.22979110761854582,-7.590338906473724e-16,1.18,-7.649318784906604e-16,1.1799913499224188,0.22849992158067545
1.08,-0.10768240331113682,-0.10768240331113682,0.23376752845527854,0.23376752845527854,-7.590338906473724e-16,1.18,-7.642820673845242e-16,1.1799923200424023,0.2283920765278385
1.1,-0.1095062669599929,-0.1095062669599929,0.23773011451495862,0.23773011451495862,-7.590338906473724e-16,1.18,-7.637016867689736e-16,1.1799931839192568,0.2282827747563603
1.12,-0.11132367408930315,-0.11132367408930315,0.24167883297785153,0.24167883297785153,-7.590338906473724e-16,1.18,-7.631836455936328e-16,1.1799939528078813,0.22817203678340478
1.14,-0.11313460896880644,-0.11313460896880644,0.2456136507226233,0.2456136507226233,-7.590338906473724e-16,1.18,-7.627215259150738e-16,1.179994636828819,0.22805988312613587
