jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
91	1,120000E+3	798,000000E+0	0,000000E+0	0,000000E+0
92	1,121000E+3	795,000000E+0	0,000000E+0	0,000000E+0
93	1,123000E+3	792,000000E+0	0,000000E+0	0,000000E+0
94	1,123000E+3	790,000000E+0	0,000000E+0	0,000000E+0
95	1,125000E+3	788,000000E+0	0,000000E+0	0,000000E+0
96	1,125000E+3	785,000000E+0	0,000000E+0	0,000000E+0
97	1,126000E+3	783,000000E+0	0,000000E+0	0,000000E+0
98	1,128000E+3	782,000000E+0	0,000000E+0	0,000000E+0
99	1,129000E+3	779,000000E+0	0,000000E+0	0,000000E+0
100	1,130000E+3	777,000000E+0	0,000000E+0	0,000000E+0
101	1,131000E+3	775,000000E+0	0,000000E+0	0,000000E+0
102	1,132000E+3	773,000000E+0	0,000000E+0	0,000000E+0
103	1,133000E+3	771,000000E+0	0,000000E+0	0,000000E+0
104	1,134000E+3	768,000000E+0	0,000000E+0	0,000000E+0
105	1,135000E+3	766,000000E+0	0,000000E+0	0,000000E+0
106	1,136000E+3	764,000000E+0	0,000000E+0	0,000000E+0
107	1,136000E+3	762,000000E+0	0,000000E+0	0,000000E+0
108	1,138000E+3	760,000000E+0	0,000000E+0	0,000000E+0
109	1,139000E+3	757,000000E+0	0,000000E+0	0,000000E+0
110	1,139000E+3	755,000000E+0	0,000000E+0	0,000000E+0
111	1,140000E+3	754,000000E+0	0,000000E+0	0,000000E+0
112	1,141000E+3	751,000000E+0	0,000000E+0	0,000000E+0
113	1,142000E+3	749,000000E+0	0,000000E+0	0,000000E+0
114	1,143000E+3	747,000000E+0	0,000000E+0	0,000000E+0
115	1,144000E+3	746,000000E+0	0,000000E+0	0,000000E+0
116	1,145000E+3	743,000000E+0	0,000000E+0	0,000000E+0
117	1,146000E+3	741,000000E+0	0,000000E+0	0,000000E+0
118	1,146000E+3	740,000000E+0	0,000000E+0	0,000000E+0
119	1,148000E+3	738,000000E+0	0,000000E+0	0,000000E+0
120	1,149000E+3	734,000000E+0	0,000000E+0	0,000000E+0
121	1,150000E+3	733,000000E+0	0,000000E+0	0,000000E+0
122	1,150000E+3	731,000000E+0	0,000000E+0	0,000000E+0
123	1,152000E+3	729,000000E+0	0,000000E+0	0,000000E+0
124	1,153000E+3	727,000000E+0	0,000000E+0	0,000000E+0
